This is testing for fprintf...
Data @ Index 244: f763
Data @ Index 245: f573
Data @ Index 246: f684
Data @ Index 247: fa88
Data @ Index 248: 36d
Data @ Index 249: 90f
Data @ Index 250: b2a
Data @ Index 251: a82
Data @ Index 252: aae
Data @ Index 253: b52
Data @ Index 254: a31
Data @ Index 255: ae0
Data @ Index 256: b77
Data @ Index 257: ae4
Data @ Index 258: bfe
Data @ Index 259: bf9
Data @ Index 260: ae5
Data @ Index 261: a96
Data @ Index 262: 654
Data @ Index 263: fee7
Data @ Index 264: f932
Data @ Index 265: f92b
Data @ Index 266: f85a
Data @ Index 267: f5bd
Data @ Index 268: f4b3
Data @ Index 269: f35f
Data @ Index 270: f0a8
Data @ Index 271: f0a8
Data @ Index 272: efe3
Data @ Index 273: f4b9
Data @ Index 274: ff7d
Data @ Index 275: 77b
Data @ Index 276: bb9
Data @ Index 277: cb1
Data @ Index 278: d9c
Data @ Index 279: d33
Data @ Index 280: c4c
Data @ Index 281: dc4
Data @ Index 282: d4a
Data @ Index 283: dae
Data @ Index 284: e80
Data @ Index 285: db5
Data @ Index 286: d4b
Data @ Index 287: 990
Data @ Index 288: d1
Data @ Index 289: f814
Data @ Index 290: f3a0
Data @ Index 291: f31e
Data @ Index 292: ef9d
Data @ Index 293: ee88
Data @ Index 294: ee11
Data @ Index 295: eba6
Data @ Index 296: ea50
Data @ Index 297: e959
Data @ Index 298: e82d
Data @ Index 299: ed73
Data @ Index 300: f7a9
Data @ Index 301: 236
Data @ Index 302: b70
Data @ Index 303: f5a
Data @ Index 304: 1086
Data @ Index 305: f99
Data @ Index 306: 101c
Data @ Index 307: 1045
Data @ Index 308: ee6
Data @ Index 309: 108b
Data @ Index 310: 113d
Data @ Index 311: fd1
Data @ Index 312: f93
Data @ Index 313: 898
Data @ Index 314: fcba
Data @ Index 315: f19c
Data @ Index 316: ec92
Data @ Index 317: ec20
Data @ Index 318: ea83
Data @ Index 319: e95e
Data @ Index 320: e714
Data @ Index 321: e585
Data @ Index 322: e56f
Data @ Index 323: e1be
Data @ Index 324: e17c
Data @ Index 325: e590
Data @ Index 326: ee24
Data @ Index 327: f8ac
Data @ Index 328: 4a1
Data @ Index 329: f23
Data @ Index 330: 13a7
Data @ Index 331: 14a2
Data @ Index 332: 1575
Data @ Index 333: 1482
Data @ Index 334: 1495
Data @ Index 335: 1590
Data @ Index 336: 14e5
Data @ Index 337: 146f
Data @ Index 338: 100d
Data @ Index 339: 6cd
Data @ Index 340: fb96
Data @ Index 341: f185
Data @ Index 342: e92f
Data @ Index 343: e5dc
Data @ Index 344: e552
Data @ Index 345: e7db
Data @ Index 346: e4ef
Data @ Index 347: e0ed
Data @ Index 348: dfe0
Data @ Index 349: dd33
Data @ Index 350: dd30
Data @ Index 351: ded5
Data @ Index 352: e5b2
Data @ Index 353: efd7
Data @ Index 354: fa80
Data @ Index 355: 61d
Data @ Index 356: 11f4
Data @ Index 357: 1a59
Data @ Index 358: 1c7b
Data @ Index 359: 1b55
Data @ Index 360: 1d10
Data @ Index 361: 1cb9
Data @ Index 362: 1c20
Data @ Index 363: 1adb
Data @ Index 364: 139e
Data @ Index 365: a36
Data @ Index 366: feb5
Data @ Index 367: f489
Data @ Index 368: eac2
Data @ Index 369: e5be
Data @ Index 370: e3fa
Data @ Index 371: e3dd
Data @ Index 372: e2ea
Data @ Index 373: e1c0
Data @ Index 374: de43
Data @ Index 375: dc71
Data @ Index 376: dc58
Data @ Index 377: dc55
Data @ Index 378: df14
Data @ Index 379: e752
Data @ Index 380: f2f6
Data @ Index 381: fded
Data @ Index 382: 92f
Data @ Index 383: 14d8
Data @ Index 384: 205f
Data @ Index 385: 259d
Data @ Index 386: 2827
Data @ Index 387: 2739
Data @ Index 388: 2690
Data @ Index 389: 238f
Data @ Index 390: 1be9
Data @ Index 391: 1339
Data @ Index 392: 823
Data @ Index 393: fc53
Data @ Index 394: f175
Data @ Index 395: eaee
Data @ Index 396: e869
Data @ Index 397: e719
Data @ Index 398: e478
Data @ Index 399: e306
Data @ Index 400: e0cf
Data @ Index 401: e0ae
Data @ Index 402: ded2
Data @ Index 403: dd83
Data @ Index 404: ddff
Data @ Index 405: e21d
Data @ Index 406: eb8f
Data @ Index 407: f606
Data @ Index 408: 14e
Data @ Index 409: d05
Data @ Index 410: 18a0
Data @ Index 411: 23f6
Data @ Index 412: 2eda
Data @ Index 413: 32e8
Data @ Index 414: 3317
Data @ Index 415: 2d85
Data @ Index 416: 255c
Data @ Index 417: 1c3b
Data @ Index 418: 1300
Data @ Index 419: 80e
Data @ Index 420: fd67
Data @ Index 421: f1f7
Data @ Index 422: ea8f
Data @ Index 423: e815
Data @ Index 424: e683
Data @ Index 425: e4d1
Data @ Index 426: e253
Data @ Index 427: e0ef
Data @ Index 428: e017
Data @ Index 429: df82
Data @ Index 430: de73
Data @ Index 431: dd4d
Data @ Index 432: e18d
Data @ Index 433: eb11
Data @ Index 434: f40c
Data @ Index 435: fffa
Data @ Index 436: c47
Data @ Index 437: 1731
Data @ Index 438: 2353
Data @ Index 439: 2fc4
Data @ Index 440: 399d
Data @ Index 441: 3868
Data @ Index 442: 2eba
Data @ Index 443: 266b
Data @ Index 444: 1d6e
Data @ Index 445: 1395
Data @ Index 446: 98f
Data @ Index 447: ff2c
Data @ Index 448: f3ac
Data @ Index 449: ea75
Data @ Index 450: e6db
Data @ Index 451: e603
Data @ Index 452: e47c
Data @ Index 453: e327
Data @ Index 454: e19d
Data @ Index 455: e095
Data @ Index 456: df2d
Data @ Index 457: de29
Data @ Index 458: dd42
Data @ Index 459: e007
Data @ Index 460: e855
Data @ Index 461: f2ad
Data @ Index 462: fce4
Data @ Index 463: 760
Data @ Index 464: 13e3
Data @ Index 465: 2007
Data @ Index 466: 2ca2
Data @ Index 467: 380f
Data @ Index 468: 39fd
Data @ Index 469: 3268
Data @ Index 470: 28db
Data @ Index 471: 203b
Data @ Index 472: 1815
Data @ Index 473: dd2
Data @ Index 474: 2fb
Data @ Index 475: f822
Data @ Index 476: ed92
Data @ Index 477: e843
Data @ Index 478: e691
Data @ Index 479: e570
Data @ Index 480: e38a
Data @ Index 481: e236
Data @ Index 482: e100
Data @ Index 483: dff5
Data @ Index 484: dea1
Data @ Index 485: dcc7
Data @ Index 486: dc89
Data @ Index 487: e2c4
Data @ Index 488: ecfa
Data @ Index 489: f76f
Data @ Index 490: 187
Data @ Index 491: c9f
Data @ Index 492: 186f
Data @ Index 493: 250a
Data @ Index 494: 31f8
Data @ Index 495: 39fd
Data @ Index 496: 383a
Data @ Index 497: 2f31
Data @ Index 498: 264c
Data @ Index 499: 1d72
Data @ Index 500: 1492
Data @ Index 501: a75
Data @ Index 502: ffd7
Data @ Index 503: f467
Data @ Index 504: ec26
Data @ Index 505: e835
Data @ Index 506: e648
Data @ Index 507: e489
Data @ Index 508: e449
Data @ Index 509: e26e
Data @ Index 510: e09c
Data @ Index 511: df9a
Data @ Index 512: de3c
Data @ Index 513: dc30
Data @ Index 514: dbe1
Data @ Index 515: e368
Data @ Index 516: eed2
Data @ Index 517: f84c
Data @ Index 518: 2ad
Data @ Index 519: dd9
Data @ Index 520: 1943
Data @ Index 521: 254d
Data @ Index 522: 31ce
Data @ Index 523: 3ace
Data @ Index 524: 384d
Data @ Index 525: 2f84
Data @ Index 526: 2667
Data @ Index 527: 1d7a
Data @ Index 528: 1463
Data @ Index 529: ad0
Data @ Index 530: 78
Data @ Index 531: f543
Data @ Index 532: eb82
Data @ Index 533: e7cd
Data @ Index 534: e67f
Data @ Index 535: e538
Data @ Index 536: e49a
Data @ Index 537: e2e9
Data @ Index 538: e0f9
Data @ Index 539: e00c
Data @ Index 540: defe
Data @ Index 541: dd49
Data @ Index 542: dc31
Data @ Index 543: e20b
Data @ Index 544: ec14
Data @ Index 545: f66c
Data @ Index 546: 7c
Data @ Index 547: bd0
Data @ Index 548: 1673
Data @ Index 549: 21c7
Data @ Index 550: 2e45
Data @ Index 551: 390f
Data @ Index 552: 39dc
Data @ Index 553: 320d
Data @ Index 554: 28df
Data @ Index 555: 2017
Data @ Index 556: 16f1
Data @ Index 557: d97
Data @ Index 558: 303
Data @ Index 559: f866
Data @ Index 560: edac
Data @ Index 561: e822
Data @ Index 562: e677
Data @ Index 563: e574
Data @ Index 564: e436
Data @ Index 565: e2cb
Data @ Index 566: e14e
Data @ Index 567: e0a6
Data @ Index 568: dff1
Data @ Index 569: ddef
Data @ Index 570: dc4c
Data @ Index 571: df29
Data @ Index 572: e84e
Data @ Index 573: f280
Data @ Index 574: fca4
Data @ Index 575: 705
Data @ Index 576: 11f0
Data @ Index 577: 1c7e
Data @ Index 578: 2837
Data @ Index 579: 34ae
Data @ Index 580: 3ad1
Data @ Index 581: 3605
Data @ Index 582: 2cf8
Data @ Index 583: 23f3
Data @ Index 584: 1bc6
Data @ Index 585: 11e3
Data @ Index 586: 88e
Data @ Index 587: fdc5
Data @ Index 588: f3c6
Data @ Index 589: eaaa
Data @ Index 590: e7ef
Data @ Index 591: e6a5
Data @ Index 592: e57c
Data @ Index 593: e3f4
Data @ Index 594: e2ef
Data @ Index 595: e1d8
Data @ Index 596: e12e
Data @ Index 597: df50
Data @ Index 598: dde0
Data @ Index 599: dde8
Data @ Index 600: e3fa
Data @ Index 601: ed89
Data @ Index 602: f7de
Data @ Index 603: 1aa
Data @ Index 604: c44
Data @ Index 605: 1659
Data @ Index 606: 21b2
Data @ Index 607: 2d39
Data @ Index 608: 3792
Data @ Index 609: 3894
Data @ Index 610: 3168
Data @ Index 611: 27e7
Data @ Index 612: 1f2b
Data @ Index 613: 16ab
Data @ Index 614: cc9
Data @ Index 615: 336
Data @ Index 616: f875
Data @ Index 617: eec6
Data @ Index 618: e855
Data @ Index 619: e631
Data @ Index 620: e553
Data @ Index 621: e3e6
Data @ Index 622: e2ae
Data @ Index 623: e19d
Data @ Index 624: e0c7
Data @ Index 625: df6a
Data @ Index 626: dda1
Data @ Index 627: dd3b
Data @ Index 628: df68
Data @ Index 629: e791
Data @ Index 630: f0ce
Data @ Index 631: fb36
Data @ Index 632: 559
