This is testing for fprintf...
Data @ Index 2887: ec91
Data @ Index 2888: f201
Data @ Index 2889: f766
Data @ Index 2890: fcd8
Data @ Index 2891: 283
Data @ Index 2892: 7a9
Data @ Index 2893: dfc
Data @ Index 2894: 1145
Data @ Index 2895: 12d2
Data @ Index 2896: 147a
Data @ Index 2897: 169b
Data @ Index 2898: 187b
Data @ Index 2899: 1a23
Data @ Index 2900: 1c5b
Data @ Index 2901: 1e43
Data @ Index 2902: 20e0
Data @ Index 2903: 231b
Data @ Index 2904: 25d9
Data @ Index 2905: 283e
Data @ Index 2906: 2a71
Data @ Index 2907: 2d2e
Data @ Index 2908: 2efb
Data @ Index 2909: 2fa6
Data @ Index 2910: 2f6e
Data @ Index 2911: 2f49
Data @ Index 2912: 2e5e
Data @ Index 2913: 2db7
Data @ Index 2914: 2c5e
Data @ Index 2915: 2b28
Data @ Index 2916: 29dc
Data @ Index 2917: 2809
Data @ Index 2918: 262f
Data @ Index 2919: 2443
Data @ Index 2920: 227c
Data @ Index 2921: 2075
Data @ Index 2922: 1e9a
Data @ Index 2923: 1cb0
Data @ Index 2924: 1c07
Data @ Index 2925: 1bce
Data @ Index 2926: 1b41
Data @ Index 2927: 1a84
Data @ Index 2928: 1a17
Data @ Index 2929: 198b
Data @ Index 2930: 18a8
Data @ Index 2931: 179d
Data @ Index 2932: 16a5
Data @ Index 2933: 157f
Data @ Index 2934: 13fb
Data @ Index 2935: 12c9
Data @ Index 2936: 11a1
Data @ Index 2937: e01
Data @ Index 2938: 8cd
Data @ Index 2939: 46c
Data @ Index 2940: 93
Data @ Index 2941: fced
Data @ Index 2942: f945
Data @ Index 2943: f549
Data @ Index 2944: f1b9
Data @ Index 2945: ee27
Data @ Index 2946: ead5
Data @ Index 2947: e77c
Data @ Index 2948: e47c
Data @ Index 2949: e16b
Data @ Index 2950: dfdc
Data @ Index 2951: ded8
Data @ Index 2952: dd7c
Data @ Index 2953: dc4c
Data @ Index 2954: dadf
Data @ Index 2955: d9d9
Data @ Index 2956: d8b6
Data @ Index 2957: d7c0
Data @ Index 2958: d6b3
Data @ Index 2959: d5b0
Data @ Index 2960: d488
Data @ Index 2961: d35e
Data @ Index 2962: d232
Data @ Index 2963: d0b7
Data @ Index 2964: cf9c
Data @ Index 2965: ce06
Data @ Index 2966: ccef
Data @ Index 2967: cd58
Data @ Index 2968: ce7f
Data @ Index 2969: cfa2
Data @ Index 2970: d0c7
Data @ Index 2971: d257
Data @ Index 2972: d431
Data @ Index 2973: d71a
Data @ Index 2974: da56
Data @ Index 2975: de2a
Data @ Index 2976: e1ff
Data @ Index 2977: e643
Data @ Index 2978: ea3f
Data @ Index 2979: ee9e
Data @ Index 2980: f19a
Data @ Index 2981: f20e
Data @ Index 2982: f244
Data @ Index 2983: f26d
Data @ Index 2984: f2e6
Data @ Index 2985: f373
Data @ Index 2986: f439
Data @ Index 2987: f52f
Data @ Index 2988: f64e
Data @ Index 2989: f76b
Data @ Index 2990: f8a2
Data @ Index 2991: fa03
Data @ Index 2992: fb03
Data @ Index 2993: fd42
Data @ Index 2994: 110
Data @ Index 2995: 51a
Data @ Index 2996: 938
Data @ Index 2997: dbd
Data @ Index 2998: 1256
Data @ Index 2999: 170a
Data @ Index 3000: 1bda
Data @ Index 3001: 2081
Data @ Index 3002: 24d4
Data @ Index 3003: 2885
Data @ Index 3004: 2b82
Data @ Index 3005: 2d9e
Data @ Index 3006: 2f05
Data @ Index 3007: 2f96
Data @ Index 3008: 2fe0
Data @ Index 3009: 2fb3
Data @ Index 3010: 2fc2
Data @ Index 3011: 30e3
Data @ Index 3012: 31fb
Data @ Index 3013: 3313
Data @ Index 3014: 3409
Data @ Index 3015: 34e8
Data @ Index 3016: 35b3
Data @ Index 3017: 3668
Data @ Index 3018: 3707
Data @ Index 3019: 377d
Data @ Index 3020: 37a1
Data @ Index 3021: 37b1
Data @ Index 3022: 37d6
Data @ Index 3023: 37e4
Data @ Index 3024: 35b4
Data @ Index 3025: 3106
Data @ Index 3026: 2c6d
Data @ Index 3027: 2755
Data @ Index 3028: 2224
Data @ Index 3029: 1ce8
Data @ Index 3030: 177b
Data @ Index 3031: 121a
Data @ Index 3032: ce5
Data @ Index 3033: 7c2
Data @ Index 3034: 267
Data @ Index 3035: fd83
Data @ Index 3036: f8d3
Data @ Index 3037: f501
Data @ Index 3038: f2a0
Data @ Index 3039: f05c
Data @ Index 3040: ee66
Data @ Index 3041: ecb7
Data @ Index 3042: eb61
Data @ Index 3043: ea41
Data @ Index 3044: e945
Data @ Index 3045: e853
Data @ Index 3046: e74a
Data @ Index 3047: e622
Data @ Index 3048: e4d0
Data @ Index 3049: e394
Data @ Index 3050: e273
Data @ Index 3051: e13b
Data @ Index 3052: e00d
Data @ Index 3053: dedf
Data @ Index 3054: de47
Data @ Index 3055: df08
Data @ Index 3056: e02b
Data @ Index 3057: e0f7
Data @ Index 3058: e234
Data @ Index 3059: e34f
Data @ Index 3060: e409
Data @ Index 3061: e4f7
Data @ Index 3062: e5a3
Data @ Index 3063: e667
Data @ Index 3064: e6f9
Data @ Index 3065: e7ad
Data @ Index 3066: e84f
Data @ Index 3067: e951
Data @ Index 3068: e891
Data @ Index 3069: e552
Data @ Index 3070: e1da
Data @ Index 3071: de67
Data @ Index 3072: dad1
Data @ Index 3073: d72a
Data @ Index 3074: d3bd
Data @ Index 3075: d08c
Data @ Index 3076: cdb9
Data @ Index 3077: cb82
Data @ Index 3078: c99d
Data @ Index 3079: c84d
Data @ Index 3080: c72d
Data @ Index 3081: c749
Data @ Index 3082: c864
Data @ Index 3083: c9ed
Data @ Index 3084: cbc2
Data @ Index 3085: cd7e
Data @ Index 3086: cf56
Data @ Index 3087: d181
Data @ Index 3088: d3dd
Data @ Index 3089: d671
Data @ Index 3090: d913
Data @ Index 3091: dbe6
Data @ Index 3092: de84
Data @ Index 3093: e127
Data @ Index 3094: e419
Data @ Index 3095: e68b
Data @ Index 3096: e94a
Data @ Index 3097: ed60
Data @ Index 3098: f0bf
Data @ Index 3099: f55b
Data @ Index 3100: fb31
Data @ Index 3101: 13a
Data @ Index 3102: 6e3
Data @ Index 3103: ccd
Data @ Index 3104: 1292
Data @ Index 3105: 1850
Data @ Index 3106: 1e26
Data @ Index 3107: 2400
Data @ Index 3108: 2a56
Data @ Index 3109: 30a9
Data @ Index 3110: 36ed
Data @ Index 3111: 3d1d
Data @ Index 3112: 429d
Data @ Index 3113: 44ee
Data @ Index 3114: 4550
Data @ Index 3115: 4539
Data @ Index 3116: 446a
Data @ Index 3117: 4314
Data @ Index 3118: 412c
Data @ Index 3119: 3ef1
Data @ Index 3120: 3c7f
Data @ Index 3121: 39eb
Data @ Index 3122: 3756
Data @ Index 3123: 34b5
Data @ Index 3124: 3221
Data @ Index 3125: 2f6f
Data @ Index 3126: 2dd3
Data @ Index 3127: 2d16
Data @ Index 3128: 2c30
Data @ Index 3129: 2b0d
Data @ Index 3130: 29cf
Data @ Index 3131: 2886
Data @ Index 3132: 2734
Data @ Index 3133: 25e9
Data @ Index 3134: 2471
Data @ Index 3135: 2304
Data @ Index 3136: 218e
Data @ Index 3137: 1fe3
Data @ Index 3138: 1ded
Data @ Index 3139: 1bf1
Data @ Index 3140: 19c2
Data @ Index 3141: 1788
Data @ Index 3142: 1586
Data @ Index 3143: 137a
Data @ Index 3144: 12a6
Data @ Index 3145: 12e5
Data @ Index 3146: 1286
Data @ Index 3147: 1213
Data @ Index 3148: 114c
Data @ Index 3149: 107f
Data @ Index 3150: f64
Data @ Index 3151: ea7
Data @ Index 3152: e42
Data @ Index 3153: dc0
Data @ Index 3154: da8
Data @ Index 3155: e02
Data @ Index 3156: e91
Data @ Index 3157: ef9
Data @ Index 3158: d37
Data @ Index 3159: 988
Data @ Index 3160: 624
Data @ Index 3161: 29f
Data @ Index 3162: ff85
Data @ Index 3163: fc48
Data @ Index 3164: f906
Data @ Index 3165: f594
Data @ Index 3166: f26e
Data @ Index 3167: ef48
Data @ Index 3168: ebfd
Data @ Index 3169: e877
Data @ Index 3170: e528
Data @ Index 3171: e23b
Data @ Index 3172: e0e3
Data @ Index 3173: dfcf
Data @ Index 3174: deed
Data @ Index 3175: ddaf
Data @ Index 3176: dcb9
Data @ Index 3177: db74
Data @ Index 3178: da80
Data @ Index 3179: d9ba
Data @ Index 3180: d927
Data @ Index 3181: d810
Data @ Index 3182: d776
Data @ Index 3183: d64b
Data @ Index 3184: d53a
Data @ Index 3185: d420
Data @ Index 3186: d32b
Data @ Index 3187: d146
Data @ Index 3188: cfc7
Data @ Index 3189: cee8
Data @ Index 3190: cf7b
Data @ Index 3191: d077
Data @ Index 3192: d13f
Data @ Index 3193: d1ef
Data @ Index 3194: d2dc
Data @ Index 3195: d3cc
Data @ Index 3196: d557
Data @ Index 3197: d6f8
Data @ Index 3198: d8b2
Data @ Index 3199: dac9
Data @ Index 3200: dcc6
Data @ Index 3201: df34
Data @ Index 3202: e233
Data @ Index 3203: e4be
Data @ Index 3204: e455
Data @ Index 3205: e332
Data @ Index 3206: e19b
Data @ Index 3207: e0e5
Data @ Index 3208: e0a8
Data @ Index 3209: dfb9
Data @ Index 3210: dea9
Data @ Index 3211: de88
Data @ Index 3212: dd5a
Data @ Index 3213: dd1d
Data @ Index 3214: dc96
Data @ Index 3215: dc20
Data @ Index 3216: db8c
Data @ Index 3217: dc62
Data @ Index 3218: de52
Data @ Index 3219: e119
Data @ Index 3220: e3ec
Data @ Index 3221: e6d0
Data @ Index 3222: e8a9
Data @ Index 3223: eb21
Data @ Index 3224: ed83
Data @ Index 3225: f04f
Data @ Index 3226: f2dc
Data @ Index 3227: f5e1
Data @ Index 3228: f894
Data @ Index 3229: fbbd
Data @ Index 3230: ff0f
Data @ Index 3231: 2d0
Data @ Index 3232: 5ee
Data @ Index 3233: 93d
Data @ Index 3234: c63
Data @ Index 3235: 1091
Data @ Index 3236: 15ad
Data @ Index 3237: 1c0d
Data @ Index 3238: 2200
Data @ Index 3239: 27a8
Data @ Index 3240: 2d0d
Data @ Index 3241: 31cf
Data @ Index 3242: 367d
Data @ Index 3243: 3aaf
Data @ Index 3244: 3e3d
Data @ Index 3245: 408d
Data @ Index 3246: 42ee
Data @ Index 3247: 44ea
Data @ Index 3248: 46f8
Data @ Index 3249: 4916
Data @ Index 3250: 484f
Data @ Index 3251: 45c6
Data @ Index 3252: 437b
Data @ Index 3253: 40bc
Data @ Index 3254: 3e9d
Data @ Index 3255: 3c08
Data @ Index 3256: 3927
Data @ Index 3257: 3629
Data @ Index 3258: 33b1
Data @ Index 3259: 30ac
Data @ Index 3260: 2e21
Data @ Index 3261: 2aee
Data @ Index 3262: 27fa
Data @ Index 3263: 2574
Data @ Index 3264: 243c
Data @ Index 3265: 22e2
Data @ Index 3266: 220c
Data @ Index 3267: 2070
Data @ Index 3268: 1f0e
Data @ Index 3269: 1d8d
Data @ Index 3270: 1bd6
Data @ Index 3271: 1a67
Data @ Index 3272: 195a
Data @ Index 3273: 1788
Data @ Index 3274: 167b
Data @ Index 3275: 14cb
Data @ Index 3276: 1313
Data @ Index 3277: 1128
Data @ Index 3278: f1f
Data @ Index 3279: ce6
Data @ Index 3280: b25
Data @ Index 3281: 905
Data @ Index 3282: 866
Data @ Index 3283: 90c
Data @ Index 3284: 972
Data @ Index 3285: 96e
Data @ Index 3286: 95e
Data @ Index 3287: 8e0
Data @ Index 3288: 869
Data @ Index 3289: 855
Data @ Index 3290: 82b
Data @ Index 3291: 858
Data @ Index 3292: 97b
Data @ Index 3293: ad4
Data @ Index 3294: c3c
Data @ Index 3295: e09
Data @ Index 3296: dfd
Data @ Index 3297: b3e
Data @ Index 3298: 800
Data @ Index 3299: 4c6
Data @ Index 3300: 15a
Data @ Index 3301: fe19
Data @ Index 3302: fb6c
Data @ Index 3303: f982
Data @ Index 3304: f6c7
Data @ Index 3305: f439
Data @ Index 3306: f1de
Data @ Index 3307: ef07
Data @ Index 3308: ec37
Data @ Index 3309: e999
Data @ Index 3310: e75c
Data @ Index 3311: e68e
Data @ Index 3312: e67e
Data @ Index 3313: e668
Data @ Index 3314: e60d
Data @ Index 3315: e636
Data @ Index 3316: e565
Data @ Index 3317: e481
Data @ Index 3318: e40f
Data @ Index 3319: e340
Data @ Index 3320: e235
Data @ Index 3321: e177
Data @ Index 3322: e107
Data @ Index 3323: e0a5
Data @ Index 3324: e05e
Data @ Index 3325: df6c
Data @ Index 3326: df0b
Data @ Index 3327: de67
Data @ Index 3328: dd70
Data @ Index 3329: de3a
Data @ Index 3330: df4f
Data @ Index 3331: e03f
Data @ Index 3332: e1a8
Data @ Index 3333: e2a8
Data @ Index 3334: e38b
Data @ Index 3335: e4e3
Data @ Index 3336: e5d3
Data @ Index 3337: e6a5
Data @ Index 3338: e7de
Data @ Index 3339: e8ec
Data @ Index 3340: e9aa
Data @ Index 3341: ea7f
Data @ Index 3342: eb9f
Data @ Index 3343: eb1e
Data @ Index 3344: e85e
Data @ Index 3345: e517
Data @ Index 3346: e24b
Data @ Index 3347: e03c
Data @ Index 3348: de17
Data @ Index 3349: dc23
Data @ Index 3350: da2a
Data @ Index 3351: d877
Data @ Index 3352: d688
Data @ Index 3353: d4ab
Data @ Index 3354: d29b
Data @ Index 3355: d0f5
Data @ Index 3356: cf51
Data @ Index 3357: cef7
Data @ Index 3358: d049
Data @ Index 3359: d18c
Data @ Index 3360: d2cd
Data @ Index 3361: d44a
Data @ Index 3362: d502
Data @ Index 3363: d5e7
Data @ Index 3364: d695
Data @ Index 3365: d6bf
Data @ Index 3366: d75c
Data @ Index 3367: d8ee
Data @ Index 3368: da51
Data @ Index 3369: dba6
Data @ Index 3370: dd40
Data @ Index 3371: def6
Data @ Index 3372: e015
Data @ Index 3373: e124
Data @ Index 3374: e1c2
Data @ Index 3375: e330
Data @ Index 3376: e5ad
Data @ Index 3377: e970
Data @ Index 3378: ed67
Data @ Index 3379: f15a
Data @ Index 3380: f564
Data @ Index 3381: f95c
Data @ Index 3382: fcda
Data @ Index 3383: 71
Data @ Index 3384: 3e8
Data @ Index 3385: 723
Data @ Index 3386: a7a
Data @ Index 3387: ee3
Data @ Index 3388: 12fc
Data @ Index 3389: 176b
Data @ Index 3390: 1b7e
Data @ Index 3391: 1ce9
Data @ Index 3392: 1cd3
Data @ Index 3393: 1cdf
Data @ Index 3394: 1c8b
Data @ Index 3395: 1cb2
Data @ Index 3396: 1cdd
Data @ Index 3397: 1d4e
Data @ Index 3398: 1e12
Data @ Index 3399: 1f3d
Data @ Index 3400: 2007
Data @ Index 3401: 20d2
Data @ Index 3402: 211c
Data @ Index 3403: 2131
Data @ Index 3404: 2130
Data @ Index 3405: 21b5
Data @ Index 3406: 2287
Data @ Index 3407: 23fb
Data @ Index 3408: 24ce
Data @ Index 3409: 2528
Data @ Index 3410: 25a9
Data @ Index 3411: 2681
Data @ Index 3412: 26b2
Data @ Index 3413: 269f
Data @ Index 3414: 2675
Data @ Index 3415: 26b5
Data @ Index 3416: 26c4
Data @ Index 3417: 2675
Data @ Index 3418: 2674
Data @ Index 3419: 2689
Data @ Index 3420: 2651
Data @ Index 3421: 2642
Data @ Index 3422: 25ce
Data @ Index 3423: 25aa
Data @ Index 3424: 26db
Data @ Index 3425: 27f9
Data @ Index 3426: 2942
Data @ Index 3427: 2b2b
Data @ Index 3428: 2ca6
Data @ Index 3429: 2db0
Data @ Index 3430: 2ef8
Data @ Index 3431: 3093
Data @ Index 3432: 317c
Data @ Index 3433: 3250
Data @ Index 3434: 3327
Data @ Index 3435: 345b
Data @ Index 3436: 353f
Data @ Index 3437: 3607
Data @ Index 3438: 364e
Data @ Index 3439: 342b
Data @ Index 3440: 3145
Data @ Index 3441: 2dcc
Data @ Index 3442: 2aff
Data @ Index 3443: 286d
Data @ Index 3444: 2576
Data @ Index 3445: 224b
Data @ Index 3446: 1f60
Data @ Index 3447: 1c38
Data @ Index 3448: 18f7
Data @ Index 3449: 154c
Data @ Index 3450: 11c6
Data @ Index 3451: e94
Data @ Index 3452: b91
Data @ Index 3453: 952
Data @ Index 3454: 815
Data @ Index 3455: 6dd
Data @ Index 3456: 62a
Data @ Index 3457: 4b1
Data @ Index 3458: 357
Data @ Index 3459: 1e4
Data @ Index 3460: 85
Data @ Index 3461: fef4
Data @ Index 3462: fdba
Data @ Index 3463: fd4e
Data @ Index 3464: fc07
Data @ Index 3465: fa13
Data @ Index 3466: f8f9
Data @ Index 3467: f749
Data @ Index 3468: f58e
Data @ Index 3469: f3c1
Data @ Index 3470: f25c
Data @ Index 3471: f147
Data @ Index 3472: f1eb
Data @ Index 3473: f327
Data @ Index 3474: f513
Data @ Index 3475: f744
Data @ Index 3476: f991
Data @ Index 3477: fb17
Data @ Index 3478: fc35
Data @ Index 3479: fd17
Data @ Index 3480: fe53
Data @ Index 3481: ff4c
Data @ Index 3482: 145
Data @ Index 3483: 359
Data @ Index 3484: 508
Data @ Index 3485: 69e
Data @ Index 3486: 837
Data @ Index 3487: 7e9
Data @ Index 3488: 56a
Data @ Index 3489: 2db
Data @ Index 3490: 60
Data @ Index 3491: fdad
Data @ Index 3492: fb2f
Data @ Index 3493: f8e0
Data @ Index 3494: f6ef
Data @ Index 3495: f645
Data @ Index 3496: f4af
Data @ Index 3497: f1fc
Data @ Index 3498: ef1b
Data @ Index 3499: ecab
Data @ Index 3500: e9f3
Data @ Index 3501: e7c9
Data @ Index 3502: e7f3
Data @ Index 3503: e984
Data @ Index 3504: e9ae
Data @ Index 3505: e968
Data @ Index 3506: e8b2
Data @ Index 3507: e8ec
Data @ Index 3508: e940
Data @ Index 3509: e93c
Data @ Index 3510: e966
Data @ Index 3511: e9d4
Data @ Index 3512: e9d1
Data @ Index 3513: e9c0
Data @ Index 3514: e8be
Data @ Index 3515: e91f
Data @ Index 3516: e91c
Data @ Index 3517: e805
Data @ Index 3518: e707
Data @ Index 3519: e634
Data @ Index 3520: e5bb
Data @ Index 3521: e670
Data @ Index 3522: e7bf
Data @ Index 3523: e99e
Data @ Index 3524: eb57
Data @ Index 3525: ecbb
Data @ Index 3526: edd4
Data @ Index 3527: ee3f
Data @ Index 3528: ef93
Data @ Index 3529: f0b0
Data @ Index 3530: f1bb
Data @ Index 3531: f35c
Data @ Index 3532: f480
Data @ Index 3533: f5c8
Data @ Index 3534: f6bc
Data @ Index 3535: f758
Data @ Index 3536: f782
Data @ Index 3537: f3e7
Data @ Index 3538: f0c4
Data @ Index 3539: ed9f
Data @ Index 3540: ead5
Data @ Index 3541: e7e4
Data @ Index 3542: e53e
Data @ Index 3543: e38e
Data @ Index 3544: e375
Data @ Index 3545: e41c
Data @ Index 3546: e5d5
Data @ Index 3547: e70e
Data @ Index 3548: e8a5
Data @ Index 3549: ebfc
Data @ Index 3550: efaa
Data @ Index 3551: f569
Data @ Index 3552: fb75
Data @ Index 3553: 274
Data @ Index 3554: a80
Data @ Index 3555: 1270
Data @ Index 3556: 1bb4
Data @ Index 3557: 248c
Data @ Index 3558: 2c9a
Data @ Index 3559: 314b
Data @ Index 3560: 3162
Data @ Index 3561: 2be9
Data @ Index 3562: 2321
Data @ Index 3563: 1a76
Data @ Index 3564: 1259
Data @ Index 3565: 95a
Data @ Index 3566: ff29
Data @ Index 3567: f4ee
Data @ Index 3568: eac3
Data @ Index 3569: e471
Data @ Index 3570: e261
Data @ Index 3571: e385
Data @ Index 3572: e4d3
Data @ Index 3573: e3b0
Data @ Index 3574: e313
Data @ Index 3575: e250
Data @ Index 3576: e355
Data @ Index 3577: e5fb
Data @ Index 3578: ee40
Data @ Index 3579: fa55
Data @ Index 3580: 834
Data @ Index 3581: 1639
Data @ Index 3582: 244f
Data @ Index 3583: 33f0
Data @ Index 3584: 42e6
Data @ Index 3585: 4cab
Data @ Index 3586: 49aa
Data @ Index 3587: 3fb0
Data @ Index 3588: 32df
Data @ Index 3589: 268c
Data @ Index 3590: 191f
Data @ Index 3591: ace
Data @ Index 3592: fca6
Data @ Index 3593: f1c3
Data @ Index 3594: ebba
Data @ Index 3595: e7bd
Data @ Index 3596: e3c4
Data @ Index 3597: e062
Data @ Index 3598: dce9
Data @ Index 3599: da67
Data @ Index 3600: d794
Data @ Index 3601: d593
Data @ Index 3602: d908
Data @ Index 3603: e2e1
Data @ Index 3604: edbd
Data @ Index 3605: fa2f
Data @ Index 3606: 6a9
Data @ Index 3607: 148c
Data @ Index 3608: 2258
Data @ Index 3609: 2e74
Data @ Index 3610: 3037
Data @ Index 3611: 272f
Data @ Index 3612: 1d44
Data @ Index 3613: 128f
Data @ Index 3614: 845
Data @ Index 3615: fca8
Data @ Index 3616: f031
Data @ Index 3617: e41f
Data @ Index 3618: de5b
Data @ Index 3619: dcb7
Data @ Index 3620: dbf7
Data @ Index 3621: db04
Data @ Index 3622: dae6
Data @ Index 3623: db5c
Data @ Index 3624: db94
Data @ Index 3625: dcb0
Data @ Index 3626: defa
Data @ Index 3627: e9fc
Data @ Index 3628: f849
Data @ Index 3629: 583
Data @ Index 3630: 13bc
Data @ Index 3631: 222a
Data @ Index 3632: 3181
Data @ Index 3633: 40e7
Data @ Index 3634: 4bed
Data @ Index 3635: 4911
Data @ Index 3636: 3fb0
Data @ Index 3637: 3366
Data @ Index 3638: 2617
Data @ Index 3639: 18ab
Data @ Index 3640: aed
Data @ Index 3641: fcad
Data @ Index 3642: f095
Data @ Index 3643: eb81
Data @ Index 3644: e854
Data @ Index 3645: e58d
Data @ Index 3646: e1cc
Data @ Index 3647: deb1
Data @ Index 3648: dbe6
Data @ Index 3649: d8e3
Data @ Index 3650: d641
Data @ Index 3651: d766
Data @ Index 3652: e200
Data @ Index 3653: ed8f
Data @ Index 3654: f90d
Data @ Index 3655: 54e
Data @ Index 3656: 121a
Data @ Index 3657: 1f47
Data @ Index 3658: 2c51
Data @ Index 3659: 30c8
Data @ Index 3660: 293c
Data @ Index 3661: 1efe
Data @ Index 3662: 1468
Data @ Index 3663: a88
Data @ Index 3664: ff5b
Data @ Index 3665: f3ca
Data @ Index 3666: e75d
Data @ Index 3667: df81
Data @ Index 3668: ddb1
Data @ Index 3669: dc42
Data @ Index 3670: db5a
Data @ Index 3671: da2d
Data @ Index 3672: da69
Data @ Index 3673: daf2
Data @ Index 3674: dacf
Data @ Index 3675: dbf3
Data @ Index 3676: e308
Data @ Index 3677: f023
Data @ Index 3678: fd5a
Data @ Index 3679: b19
Data @ Index 3680: 18ea
Data @ Index 3681: 2779
Data @ Index 3682: 3698
Data @ Index 3683: 456e
Data @ Index 3684: 48c1
Data @ Index 3685: 41d3
Data @ Index 3686: 38e2
Data @ Index 3687: 2f70
Data @ Index 3688: 23e8
Data @ Index 3689: 1661
Data @ Index 3690: 8b4
Data @ Index 3691: faaf
Data @ Index 3692: f1c7
Data @ Index 3693: ede5
Data @ Index 3694: eaab
Data @ Index 3695: e7bf
Data @ Index 3696: e443
Data @ Index 3697: e0fb
Data @ Index 3698: dd76
Data @ Index 3699: da2e
Data @ Index 3700: d778
Data @ Index 3701: dba0
Data @ Index 3702: e524
Data @ Index 3703: f031
Data @ Index 3704: fc46
Data @ Index 3705: 871
Data @ Index 3706: 1554
Data @ Index 3707: 22d1
Data @ Index 3708: 2fe3
Data @ Index 3709: 30a2
Data @ Index 3710: 277b
Data @ Index 3711: 1ccd
Data @ Index 3712: 12bd
Data @ Index 3713: 844
Data @ Index 3714: fd45
Data @ Index 3715: f17b
Data @ Index 3716: e574
Data @ Index 3717: defa
Data @ Index 3718: dd31
Data @ Index 3719: dc39
Data @ Index 3720: db39
Data @ Index 3721: d998
Data @ Index 3722: d833
Data @ Index 3723: d7ab
Data @ Index 3724: d885
Data @ Index 3725: d976
Data @ Index 3726: e12b
Data @ Index 3727: ee02
Data @ Index 3728: fb4f
Data @ Index 3729: 8fe
Data @ Index 3730: 1722
Data @ Index 3731: 25aa
Data @ Index 3732: 346b
Data @ Index 3733: 429a
Data @ Index 3734: 46a9
Data @ Index 3735: 3f92
Data @ Index 3736: 3708
Data @ Index 3737: 2e4d
Data @ Index 3738: 259b
Data @ Index 3739: 1ab2
Data @ Index 3740: d42
Data @ Index 3741: ff3a
Data @ Index 3742: f562
Data @ Index 3743: f15b
Data @ Index 3744: edaa
Data @ Index 3745: ea84
Data @ Index 3746: e74b
Data @ Index 3747: e3f7
Data @ Index 3748: e07b
Data @ Index 3749: dd48
Data @ Index 3750: da56
Data @ Index 3751: dc89
Data @ Index 3752: e57b
Data @ Index 3753: eef8
Data @ Index 3754: f91a
Data @ Index 3755: 4da
Data @ Index 3756: 1145
Data @ Index 3757: 1e6d
Data @ Index 3758: 2b81
Data @ Index 3759: 31ac
Data @ Index 3760: 2b15
Data @ Index 3761: 20d5
Data @ Index 3762: 16ab
Data @ Index 3763: c7a
Data @ Index 3764: 24d
Data @ Index 3765: f76b
Data @ Index 3766: eb6f
Data @ Index 3767: e1cc
Data @ Index 3768: de07
Data @ Index 3769: dc99
Data @ Index 3770: db20
Data @ Index 3771: da1d
Data @ Index 3772: d8f3
Data @ Index 3773: d7d8
Data @ Index 3774: d64f
Data @ Index 3775: d5ca
Data @ Index 3776: d910
Data @ Index 3777: e2da
Data @ Index 3778: f00f
Data @ Index 3779: fd42
Data @ Index 3780: a97
Data @ Index 3781: 17b6
Data @ Index 3782: 25a4
Data @ Index 3783: 3564
Data @ Index 3784: 4249
Data @ Index 3785: 4381
Data @ Index 3786: 3b91
Data @ Index 3787: 32a7
Data @ Index 3788: 2aaf
Data @ Index 3789: 2201
Data @ Index 3790: 195a
Data @ Index 3791: eb0
Data @ Index 3792: 177
Data @ Index 3793: f7af
Data @ Index 3794: f378
Data @ Index 3795: f07b
Data @ Index 3796: ed49
Data @ Index 3797: e98e
Data @ Index 3798: e6c4
Data @ Index 3799: e39b
Data @ Index 3800: dff2
Data @ Index 3801: dc72
Data @ Index 3802: ddf5
Data @ Index 3803: e5b4
Data @ Index 3804: ef77
Data @ Index 3805: f887
Data @ Index 3806: 249
Data @ Index 3807: ddb
Data @ Index 3808: 1aac
Data @ Index 3809: 2844
Data @ Index 3810: 3167
Data @ Index 3811: 2e12
Data @ Index 3812: 23bf
Data @ Index 3813: 19d3
Data @ Index 3814: 10be
Data @ Index 3815: 65f
Data @ Index 3816: fbdd
Data @ Index 3817: f113
Data @ Index 3818: e5c2
Data @ Index 3819: dfa2
Data @ Index 3820: ddf1
Data @ Index 3821: dccf
Data @ Index 3822: db36
Data @ Index 3823: d9c9
Data @ Index 3824: d8a6
Data @ Index 3825: d6ca
Data @ Index 3826: d577
Data @ Index 3827: d492
Data @ Index 3828: d8cc
Data @ Index 3829: e4a2
Data @ Index 3830: f0c3
Data @ Index 3831: fda3
Data @ Index 3832: b51
Data @ Index 3833: 19c2
Data @ Index 3834: 27ea
Data @ Index 3835: 36a7
Data @ Index 3836: 4161
Data @ Index 3837: 400b
Data @ Index 3838: 3824
Data @ Index 3839: 3076
Data @ Index 3840: 287e
Data @ Index 3841: 1fc6
Data @ Index 3842: 16cd
Data @ Index 3843: de9
Data @ Index 3844: 301
Data @ Index 3845: fa86
Data @ Index 3846: f6a4
Data @ Index 3847: f2d0
Data @ Index 3848: ef8b
Data @ Index 3849: ec4f
Data @ Index 3850: e8be
Data @ Index 3851: e4dc
Data @ Index 3852: e1d1
Data @ Index 3853: df0d
Data @ Index 3854: decd
Data @ Index 3855: e5b9
Data @ Index 3856: ee77
Data @ Index 3857: f746
Data @ Index 3858: 145
Data @ Index 3859: c0b
Data @ Index 3860: 17d2
Data @ Index 3861: 2457
Data @ Index 3862: 2f14
Data @ Index 3863: 2f48
Data @ Index 3864: 2719
Data @ Index 3865: 1db4
Data @ Index 3866: 13b8
Data @ Index 3867: 9ba
Data @ Index 3868: ff32
Data @ Index 3869: f494
